model,samples,event_rate,mean_probability,brier,log_loss,roc_auc,target_id,target_kind,horizon_start,horizon_end,threshold,walk_forward_event_rate,prediction_rows
price_plus_market_regime,968,0.3295454545454545,0.4445542889781929,0.266627215589459,0.7325308204648296,0.4333747119996522,absolute_61_90_08pct,absolute,61,90,0.08,0.3295454545454545,5808
price_plus_market_regime_rolling756,968,0.3295454545454545,0.2900163076298238,0.3127390355682673,0.8938693404773241,0.3570286575440393,absolute_61_90_08pct,absolute,61,90,0.08,0.3295454545454545,5808
price_regime_cross_breadth,968,0.3295454545454545,0.4466538093336782,0.2703137862798238,0.7413864037726213,0.4429626481058392,absolute_61_90_08pct,absolute,61,90,0.08,0.3295454545454545,5808
price_regime_cross_breadth_rolling756,968,0.3295454545454545,0.2874044276667191,0.3128373184301913,0.9091169128494888,0.369302181798861,absolute_61_90_08pct,absolute,61,90,0.08,0.3295454545454545,5808
price_only,938,0.302771855010661,0.5324736248826052,0.3164383683124036,0.8358038409849325,0.2674602661842615,absolute_91_120_10pct,absolute,91,120,0.1,0.302771855010661,5628
expanding_rate_baseline,938,0.302771855010661,0.5030613714904788,0.3016462428467188,0.8007206010639429,0.1723521557479433,absolute_91_120_10pct,absolute,91,120,0.1,0.302771855010661,5628
rolling_504_rate_baseline,938,0.302771855010661,0.2578349747859342,0.3043634811580796,0.9649860973295756,0.2958500236895378,absolute_91_120_10pct,absolute,91,120,0.1,0.302771855010661,5628
price_only_rolling756,938,0.302771855010661,0.3220619151741531,0.3222072957873862,0.8703555966419873,0.3299145023043459,absolute_91_120_10pct,absolute,91,120,0.1,0.302771855010661,5628
price_plus_market_regime,938,0.302771855010661,0.5286022804870316,0.3197435801660682,0.8558886133149947,0.3156630917000473,absolute_91_120_10pct,absolute,91,120,0.1,0.302771855010661,5628
price_plus_market_regime_rolling756,938,0.302771855010661,0.3245628838783335,0.3386077003043217,0.93035045242162,0.2512975405952535,absolute_91_120_10pct,absolute,91,120,0.1,0.302771855010661,5628
price_regime_cross_breadth,938,0.302771855010661,0.5341705715909596,0.3236570851076744,0.8635761429169847,0.3192865141921867,absolute_91_120_10pct,absolute,91,120,0.1,0.302771855010661,5628
price_regime_cross_breadth_rolling756,938,0.302771855010661,0.317955765520254,0.3340101574361109,0.9228499434188492,0.2580006030064177,absolute_91_120_10pct,absolute,91,120,0.1,0.302771855010661,5628
price_only,998,0.2645290581162324,0.356827548219463,0.209288259463984,0.608491351056455,0.5328730080092478,relative_21_60_05pct,relative,21,60,0.05,0.2645290581162324,5988
expanding_rate_baseline,998,0.2645290581162324,0.3424675084435677,0.2139556924838714,0.6204557300399163,0.2582311534968211,relative_21_60_05pct,relative,21,60,0.05,0.2645290581162324,5988
