ts_code,industry_name,trade_date,stage,action,radar_score,status_note,stage_5d_ago,stage_20d_ago,migration
801723.SI,基础建设,2026-05-21,潜伏观察,观察验证,38.40546620583717,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801181.SI,房地产开发,2026-05-21,潜伏观察,观察验证,38.362714739313915,等待更多共振证据,潜伏观察,退潮回避,退潮回避 -> 潜伏观察
801151.SI,化学制药,2026-05-21,潜伏观察,观察验证,38.199846991220014,等待更多共振证据,退潮回避,潜伏观察,潜伏观察 -> 潜伏观察
801783.SI,股份制银行Ⅱ,2026-05-21,潜伏观察,观察验证,38.15763483529613,财务景气有支持,退潮回避,潜伏观察,潜伏观察 -> 潜伏观察
801076.SI,轨交设备Ⅱ,2026-05-21,潜伏观察,观察验证,37.327905000465485,等待更多共振证据,潜伏观察,退潮回避,退潮回避 -> 潜伏观察
801191.SI,多元金融,2026-05-21,潜伏观察,观察验证,36.70484885186498,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801178.SI,物流,2026-05-21,潜伏观察,观察验证,36.48549283154122,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801145.SI,文娱用品,2026-05-21,潜伏观察,观察验证,36.33193385467579,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801785.SI,农商行Ⅱ,2026-05-21,潜伏观察,观察验证,36.12506989247313,财务景气有支持,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801713.SI,装修建材,2026-05-21,潜伏观察,观察验证,35.766208298869586,强势后质量转弱,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801033.SI,化学原料,2026-05-21,钝化转弱,收紧风控,35.68528405524168,强势后质量转弱,钝化转弱,钝化转弱,钝化转弱 -> 钝化转弱
801103.SI,IT服务Ⅱ,2026-05-21,潜伏观察,观察验证,35.61932811453515,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801202.SI,贸易Ⅱ,2026-05-21,潜伏观察,观察验证,35.45298675935772,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801152.SI,生物制品,2026-05-21,潜伏观察,观察验证,35.08916687613462,等待更多共振证据,退潮回避,潜伏观察,潜伏观察 -> 潜伏观察
801742.SI,航空装备Ⅱ,2026-05-21,潜伏观察,观察验证,34.548022700119475,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801963.SI,炼化及贸易,2026-05-21,潜伏观察,观察验证,34.32603522432332,财务景气有支持；强势后质量转弱,钝化转弱,钝化转弱,钝化转弱 -> 潜伏观察
801104.SI,软件开发,2026-05-21,潜伏观察,观察验证,33.65281847503934,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 潜伏观察
801721.SI,房屋建设Ⅱ,2026-05-21,潜伏观察,观察验证,33.60497909199522,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801767.SI,数字媒体,2026-05-21,退潮回避,回避,33.30038530465949,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 退潮回避
801155.SI,中药Ⅱ,2026-05-21,退潮回避,回避,33.258270082226446,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 退潮回避
801032.SI,化学纤维,2026-05-21,潜伏观察,观察验证,33.16201314217444,强势后质量转弱,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801131.SI,纺织制造,2026-05-21,潜伏观察,观察验证,33.03931342999891,强势后质量转弱,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
