ts_code,ann_date,end_date,q_sales_yoy,q_netprofit_yoy,q_ocf_to_sales,roe_dt
600398.SH,20171025,20170930,-2.4,-0.6449,-18.676,24.2949
000952.SZ,20171025,20170930,-9.4458,-53.8787,16.2,11.0764
002294.SZ,20171024,20170930,13.8534,5.3299,31.83,19.2968
600482.SH,20171024,20170930,6.7542,22.8159,0.6238,2.8897
600419.SH,20171024,20170930,44.0948,12.2152,5.9517,11.5275
000591.SZ,20171025,20170930,105.779,56.9551,38.1606,5.5998
002686.SZ,20171027,20170930,31.3845,24.4496,15.9589,8.534
002499.SZ,20171024,20170930,73.2008,15.126,-217.4776,3.989
300334.SZ,20171027,20170930,14.5681,56.4224,65.3184,-0.1285
002424.SZ,20171025,20170930,3.1261,10.1234,-17.1764,10.472
603178.SH,20171024,20170930,35.311,75.3739,10.7313,8.568
300159.SZ,20171025,20170930,11.9176,85.6493,-15.9414,4.9109
601228.SH,20171030,20170930,-20.593,5.9775,33.5073,4.8956
300077.SZ,20171027,20170930,49.4108,306.1459,-54.2801,1.3176
300264.SZ,20171030,20170930,82.0372,50.5261,-51.0984,-5.7447
600794.SH,20171025,20170930,21.6869,-16.2775,39.8683,-0.5575
000983.SZ,20171025,20170930,69.0415,386.8545,17.9831,7.5788
300328.SZ,20171027,20170930,53.7306,8.846,4.2506,2.2069
002530.SZ,20171025,20170930,210.5485,2451.4629,20.625,3.8419
600525.SH,20171030,20170930,45.75,98.2819,12.0892,5.8495
600422.SH,20171025,20170930,28.6146,-21.1008,-9.5277,6.4099
300370.SZ,20171027,20170930,160.3712,59.3166,-39.462,1.2818
000514.SZ,20171018,20170930,5.7643,260.7409,59.9051,2.1407
600372.SH,20171027,20170930,-5.4204,-20.2896,-28.354,2.093
600167.SH,20171030,20170930,10.5008,197.1902,122.3218,9.9236
002562.SZ,20171025,20170930,84.9359,222.0467,12.0365,12.9094
000667.SZ,20171018,20170930,-44.0189,88.7531,-90.9228,5.623
600136.SH,20171018,20170930,93.4789,-15.3696,-50.8621,1.3459
300238.SZ,20171021,20170930,59.415,60.4242,26.3762,2.9771
002185.SZ,20171021,20170930,33.28,19.071,5.7718,6.9144
002028.SZ,20171021,20170930,-10.1538,-57.9221,7.8107,3.1588
600287.SH,20171028,20170930,12.2205,216.1547,-0.354,1.6499
600113.SH,20171028,20170930,11.2599,21.9831,59.7994,12.362
300336.SZ,20171028,20170930,9.5181,11.2617,14.8201,5.6532
600598.SH,20171028,20170930,6.7003,16.0538,-74.0378,13.2148
600300.SH,20171028,20170930,16.1903,-64.1023,-10.6801,4.0241
300031.SZ,20171028,20170930,15.1153,41.4088,10.2283,6.5588
600643.SH,20171028,20170930,59.805,48.9058,223.8935,8.5193
600265.SH,20171028,20170930,-12.5913,-122.6975,-77.8887,-78.885
600546.SH,20171028,20170930,-5.5094,250.6214,2.9456,5.1152
600513.SH,20171028,20170930,15.0315,-9.7605,9.9163,5.9314
002780.SZ,20171028,20170930,-7.0171,-425.1171,-32.7872,-2.2126
300296.SZ,20171028,20170930,63.9532,118.5373,6.1621,12.7645
000606.SZ,20171028,20170930,30.6701,-351.0102,-25.2962,-2.2843
002331.SZ,20171028,20170930,-27.3028,4.25,-37.3426,3.7417
000971.SZ,20171028,20170930,39.6076,386.6723,20.2332,3.305
002159.SZ,20171028,20170930,17.0865,132.8798,13.2393,0.0611
600319.SH,20171028,20170930,33.6651,101.3608,26.4219,121.2785
600131.SH,20171028,20170930,-33.8369,-46.4732,29.2885,5.5595
300391.SZ,20171028,20170930,264.3406,861.9976,0.3434,7.8908
000503.SZ,20171028,20170930,-36.1397,-152.6949,-737.9451,-10.7358
000536.SZ,20171028,20170930,15.3005,850.9804,54.6462,0.2138
600773.SH,20171028,20170930,-68.2851,77.5543,-72.2763,1.3363
000975.SZ,20171028,20170930,121.146,66.3994,36.849,5.5138
300111.SZ,20171030,20170930,-22.9423,183.0145,-27.0752,0.8709
300409.SZ,20171027,20170930,172.1234,20.9871,-42.2866,8.8431
300335.SZ,20171027,20170930,70.4979,65.2508,11.2922,14.101
000980.SZ,20171027,20170930,1194.4581,3582.5805,11.5539,5.1484
000838.SZ,20171027,20170930,11.4839,586.4424,202.8056,3.5101
002162.SZ,20171030,20170930,16.0826,54.7343,10.5699,1.3993
002044.SZ,20171030,20170930,62.825,59.1645,7.5186,5.257
002645.SZ,20171020,20170930,33.8194,197.3069,29.9899,4.4798
002663.SZ,20171030,20170930,9.4799,9.4745,3.17,2.1687
601992.SH,20171030,20170930,80.535,68.7042,-14.821,5.0995
000560.SZ,20171020,20170930,2.6678,-17.6982,16.1469,0.8405
300482.SZ,20171030,20170930,128.6793,18.2189,-4.9832,14.5091
300595.SZ,20171030,20170930,41.6333,39.0851,53.3883,19.2602
300067.SZ,20171030,20170930,41.0693,11.1289,9.1733,6.5003
300050.SZ,20171030,20170930,9.0086,-44.9992,-7.0989,2.0812
002224.SZ,20171030,20170930,-1.2667,-28.1262,30.0728,7.5512
300044.SZ,20171030,20170930,262.7546,407.9168,27.6951,5.901
300319.SZ,20171030,20170930,-16.1218,-58.5878,12.2371,2.4251
600733.SH,20171020,20170930,6289.7795,194.7535,35.7208,-3.1142
600987.SH,20171020,20170930,15.3917,10.5418,15.484,10.5591
002007.SZ,20171020,20170930,18.8512,-4.5757,9.9979,13.1268
002014.SZ,20171020,20170930,5.7748,-9.8807,6.5051,7.463
300234.SZ,20171030,20170930,14.299,-86.3824,53.7269,-0.6445
002517.SZ,20171030,20170930,15.75,244.774,23.2105,16.6314
002659.SZ,20171030,20170930,239.1553,6.5792,23.1567,-2.9919
002349.SZ,20171030,20170930,16.1481,6.4872,25.253,5.8317
