ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601318.SH,20241025,57.7,0.5012,0.583,0.55,12.2656,8.9598,1.1791,1.1499,1.0676,4.1713,4.1961,1821023.4607,1076265.7695,925247.9335,105073053.6824,62100534.9002
601318.SH,20241024,58.1,0.4764,0.5542,0.49,12.3506,9.0219,1.1873,1.1578,1.075,4.1426,5.7526,1821023.4607,1076265.7695,925247.9335,105801463.0667,62531041.208
601318.SH,20241023,58.31,1.1075,1.2882,1.23,12.3952,9.0545,1.1916,1.162,1.0788,4.1277,5.7319,1821023.4607,1076265.7695,925247.9335,106183877.9934,62757057.0195
601318.SH,20241022,57.06,0.7861,0.9144,0.84,12.1295,8.8604,1.1661,1.1371,1.0557,4.2181,5.8575,1821023.4607,1076265.7695,925247.9335,103907598.6675,61411724.8077
601318.SH,20241021,56.9,0.8133,0.946,0.82,12.0955,11.4565,1.1679,1.1339,1.1263,4.2299,5.8739,1821023.4607,1076265.7695,925247.9335,103616234.9138,61239522.2846
601318.SH,20241018,57.18,1.3887,1.6154,1.45,12.155,11.5129,1.1736,1.1395,1.1318,4.2092,5.8452,1821023.4607,1076265.7695,925247.9335,104126121.4828,61540876.7
601318.SH,20241017,57.0,0.728,0.8469,0.59,12.1168,11.4767,1.1482,1.1359,1.1283,4.2225,4.2476,1821023.4607,1076265.7695,925247.9335,103798337.2599,61347148.8615
601318.SH,20241016,57.38,0.7944,0.9241,0.5,12.1976,11.5532,1.1558,1.1435,1.1358,4.1946,4.2195,1821023.4607,1076265.7695,925247.9335,104490326.175,61756129.8539
601318.SH,20241015,57.19,0.9551,1.1109,0.45,12.1572,11.5149,1.152,1.1397,1.132,4.2085,4.2335,1821023.4607,1076265.7695,925247.9335,104144331.7174,61551639.3577
601318.SH,20241014,58.67,1.0943,1.2729,0.45,12.4718,11.8129,1.1818,1.1692,1.1613,4.1023,4.1267,1821023.4607,1076265.7695,925247.9335,106839446.4393,63144512.6966
601318.SH,20241011,57.54,1.2191,1.4181,0.5,12.2316,11.5854,1.159,1.1467,1.139,4.1829,4.2077,1821023.4607,1076265.7695,925247.9335,104781689.9287,61928332.377
601318.SH,20241010,58.5,2.0689,2.4066,0.89,12.4356,11.7787,1.1784,1.1658,1.158,4.1143,4.1387,1821023.4607,1076265.7695,925247.9335,106529872.451,62961547.5158
601318.SH,20241009,55.7,2.6528,3.0858,1.3,11.8404,11.2149,1.122,1.11,1.1025,4.3211,4.3467,1821023.4607,1076265.7695,925247.9335,101431006.761,59948003.3612
601318.SH,20241008,61.73,3.6804,4.2811,2.4,13.1223,12.429,1.2434,1.2302,1.2219,3.899,3.9221,1821023.4607,1076265.7695,925247.9335,112411778.229,66437885.9512
