ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000977.SZ,20241115,49.21,9.1625,13.5463,0.68,40.6352,31.6289,3.8322,1.0999,0.718,0.3031,0.2642,147213.5122,147038.0382,99454.4717,7244376.9354,7235741.8598
000977.SZ,20241114,52.4,11.814,17.4664,0.94,43.2693,33.6793,4.0806,1.1712,0.7645,0.2846,0.2481,147213.5122,147038.0382,99454.4717,7713988.0393,7704793.2017
000977.SZ,20241113,57.01,13.002,19.2228,1.12,47.076,36.6423,4.4396,1.2742,0.8318,0.2616,0.228,147213.5122,147038.0382,99454.4717,8392642.3305,8382638.5578
000977.SZ,20241112,55.88,13.2422,19.5779,1.2,46.1429,35.916,4.3516,1.2489,0.8153,0.2669,0.2326,147213.5122,147038.0382,99454.4717,8226291.0617,8216485.5746
000977.SZ,20241111,54.72,17.479,25.8418,1.94,45.1851,35.1704,4.2613,1.223,0.7984,0.2726,0.2376,147213.5122,147038.0382,99454.4717,8055523.3876,8045921.4503
000977.SZ,20241108,51.71,11.8865,17.5735,1.38,42.6996,33.2358,4.0269,1.1557,0.7545,0.2884,0.2514,147213.5122,147038.0382,99454.4717,7612410.7159,7603336.9553
000977.SZ,20241107,47.01,6.9012,10.2031,0.73,38.8185,30.2149,3.6609,1.0507,0.6859,0.3173,0.2765,147213.5122,147038.0382,99454.4717,6920507.2085,6912258.1758
000977.SZ,20241106,46.4,8.476,12.5312,0.92,38.3148,29.8229,3.6134,1.0371,0.677,0.3214,0.2802,147213.5122,147038.0382,99454.4717,6830706.9661,6822564.9725
000977.SZ,20241105,47.45,10.3184,15.2552,1.14,39.1819,30.4977,3.6951,1.0605,0.6923,0.3143,0.274,147213.5122,147038.0382,99454.4717,6985281.1539,6976954.9126
000977.SZ,20241104,46.1,7.5332,11.1374,0.9,38.0671,29.63,3.59,1.0303,0.6726,0.3235,0.282,147213.5122,147038.0382,99454.4717,6786542.9124,6778453.561
000977.SZ,20241101,43.7,9.9891,14.7684,1.4,36.0853,28.0875,3.4031,0.9767,0.6376,0.3413,0.2975,147213.5122,147038.0382,99454.4717,6433230.4831,6425562.2693
000977.SZ,20241031,46.78,11.2233,16.593,1.92,38.6286,30.0671,3.643,1.0455,0.6825,0.3188,0.2779,147213.5122,147038.0382,99454.4717,6886648.1007,6878439.427
000977.SZ,20241030,44.83,6.8906,10.1874,1.17,37.0184,32.1224,3.5859,1.002,0.7939,0.3327,0.29,147213.5122,147038.0382,99454.4717,6599581.7519,6591715.2525
000977.SZ,20241029,44.51,9.7823,14.4626,1.95,36.7542,31.8932,3.5603,0.9948,0.7882,0.3351,0.2921,147213.5122,147038.0382,99454.4717,6552473.428,6544663.0803
000977.SZ,20241028,43.58,4.0722,6.0205,0.67,35.9862,31.2268,3.4859,0.974,0.7717,0.3422,0.2983,147213.5122,147038.0382,99454.4717,6415564.8617,6407917.7048
000977.SZ,20241025,43.2,3.8296,5.6618,0.53,35.6724,30.9545,3.4555,0.9655,0.765,0.3452,0.3009,147213.5122,147038.0382,99454.4717,6359623.727,6352043.2502
000977.SZ,20241024,43.02,4.6601,6.8897,0.6,35.5238,30.8255,3.4411,0.9615,0.7618,0.3467,0.3022,147213.5122,147038.0382,99454.4717,6333125.2948,6325576.4034
000977.SZ,20241023,43.85,7.2177,10.671,0.98,36.2092,31.4202,3.5075,0.9801,0.7765,0.3401,0.2965,147213.5122,147038.0382,99454.4717,6455312.51,6447617.9751
000977.SZ,20241022,43.29,5.2931,7.8255,0.63,35.7467,31.019,3.4627,0.9675,0.7666,0.3445,0.3003,147213.5122,147038.0382,99454.4717,6372872.9431,6365276.6737
000977.SZ,20241021,43.62,9.3235,13.7843,1.25,36.0192,31.2554,3.4891,0.9749,0.7724,0.3419,0.298,147213.5122,147038.0382,99454.4717,6421453.4022,6413799.2263
000977.SZ,20241018,43.4,9.6698,14.2963,1.47,35.8376,31.0978,3.4715,0.97,0.7685,0.3436,0.2995,147213.5122,147038.0382,99454.4717,6389066.4295,6381450.8579
000977.SZ,20241017,41.63,7.3651,10.8889,1.11,34.376,29.8295,3.3299,0.9304,0.7372,0.3583,0.3123,147213.5122,147038.0382,99454.4717,6128498.5129,6121193.5303
000977.SZ,20241016,40.91,5.0147,7.414,0.63,33.7815,29.3136,3.2723,0.9143,0.7244,0.3646,0.3178,147213.5122,147038.0382,99454.4717,6022504.7841,6015326.1428
000977.SZ,20241015,41.79,10.4745,15.486,1.25,34.5081,29.9442,3.3427,0.934,0.74,0.3569,0.3111,147213.5122,147038.0382,99454.4717,6152052.6748,6144719.6164
000977.SZ,20241014,40.45,4.8609,7.1866,0.5,33.4016,28.984,3.2356,0.9041,0.7163,0.3687,0.3214,147213.5122,147038.0382,99454.4717,5954786.5685,5947688.6452
000977.SZ,20241011,39.5,5.1292,7.5832,0.49,32.6171,28.3033,3.1596,0.8828,0.6995,0.3776,0.3291,147213.5122,147038.0382,99454.4717,5814933.7319,5808002.5089
