trade_date,semi_breadth_member_count,semi_breadth_above_20,semi_breadth_above_60,semi_breadth_above_120,semi_breadth_positive_20,semi_breadth_positive_60,semi_breadth_high_60,semi_breadth_median_ret_20,semi_breadth_median_ret_60,semi_breadth_leader_gap_60
2021-07-23,68,0.7352941176470589,0.8676470588235294,0.8382352941176471,0.6911764705882353,0.8529411764705882,0.10294117647058823,0.06540320773441755,0.370319976076555,0.8701360049906368
2021-07-26,68,0.7794117647058824,0.8823529411764706,0.8823529411764706,0.7352941176470589,0.8823529411764706,0.10294117647058823,0.10103669460257014,0.411182786511734,0.8818109722337703
2021-07-27,68,0.8529411764705882,0.9117647058823529,0.8970588235294118,0.8529411764705882,0.8970588235294118,0.11764705882352941,0.11631140265415885,0.39805686588479694,0.8223259138270931
2021-07-28,68,0.6029411764705882,0.8529411764705882,0.8235294117647058,0.5882352941176471,0.8676470588235294,0.029411764705882353,0.03223515858522896,0.34802405993038066,0.7898830055559337
2021-07-29,68,0.8382352941176471,0.8970588235294118,0.8970588235294118,0.8382352941176471,0.8823529411764706,0.07352941176470588,0.13431533006001095,0.44097735231571966,1.0040522193305979
2021-07-30,73,0.863013698630137,0.9041095890410958,0.9041095890410958,0.8493150684931506,0.8904109589041096,0.136986301369863,0.15756630265210614,0.5097675109559534,0.817373622940307
2021-08-02,73,0.7945205479452054,0.9452054794520548,0.9315068493150684,0.7671232876712328,0.9452054794520548,0.0,0.10124183006535947,0.509809119830329,0.7140250770608629
2021-08-03,73,0.4794520547945205,0.8493150684931506,0.8493150684931506,0.5616438356164384,0.9178082191780822,0.0273972602739726,0.028611549938564185,0.4503171247357296,0.6254663510477461
2021-08-04,74,0.6081081081081081,0.8918918918918919,0.8648648648648649,0.6621621621621622,0.9054054054054054,0.04054054054054054,0.07191341038341581,0.5353483606557377,0.6559375054441561
2021-08-05,74,0.6486486486486487,0.8648648648648649,0.8513513513513513,0.6216216216216216,0.918918918918919,0.05405405405405406,0.025892808162817582,0.4979349509550852,0.6739691768744756
2021-08-06,74,0.6216216216216216,0.8783783783783784,0.8648648648648649,0.6081081081081081,0.9054054054054054,0.02702702702702703,0.03703703703703698,0.4926829268292683,0.5928757286775737
2021-08-09,74,0.4594594594594595,0.8513513513513513,0.8513513513513513,0.527027027027027,0.9054054054054054,0.013513513513513514,0.018641076549746227,0.4291369754552652,0.6248049332584276
2021-08-10,74,0.40540540540540543,0.8378378378378378,0.8513513513513513,0.6621621621621622,0.9054054054054054,0.0,0.06317204301075274,0.41480446927374315,0.5620521801217664
2021-08-11,74,0.4189189189189189,0.8243243243243243,0.8513513513513513,0.7162162162162162,0.9054054054054054,0.0,0.0829355608591884,0.40116279069767424,0.6559606367079702
2021-08-12,74,0.5135135135135135,0.8513513513513513,0.8648648648648649,0.7837837837837838,0.8918918918918919,0.05405405405405406,0.11772836538461551,0.4594285714285713,0.5688138195777352
2021-08-13,74,0.2972972972972973,0.7432432432432432,0.7837837837837838,0.7567567567567568,0.8783783783783784,0.0,0.08051082731815651,0.40308492845196064,0.50341913658869
2021-08-16,75,0.3333333333333333,0.76,0.7866666666666666,0.76,0.88,0.02666666666666667,0.09143368819022979,0.45313006811547196,0.5273942764538166
2021-08-17,75,0.10666666666666667,0.64,0.7733333333333333,0.56,0.8666666666666667,0.0,0.013853367433930064,0.3794369645042839,0.44554120143458076
2021-08-18,76,0.17105263157894737,0.5789473684210527,0.7631578947368421,0.35526315789473684,0.8552631578947368,0.0,-0.033333333333333326,0.32638888888888884,0.4998765009879922
2021-08-19,76,0.21052631578947367,0.6447368421052632,0.75,0.34210526315789475,0.8552631578947368,0.0,-0.03394957983193281,0.37005356143576607,0.5134979400746289
2021-08-20,76,0.2631578947368421,0.6052631578947368,0.75,0.35526315789473684,0.8289473684210527,0.013157894736842105,-0.02799079754601219,0.2866396761133605,0.4690328385065228
2021-08-23,77,0.3116883116883117,0.6623376623376623,0.7532467532467533,0.33766233766233766,0.8571428571428571,0.025974025974025976,-0.04990203987553299,0.33379196477710504,0.4525427196467515
2021-08-24,77,0.35064935064935066,0.6883116883116883,0.7662337662337663,0.33766233766233766,0.8701298701298701,0.03896103896103896,-0.06051703877790826,0.3125652627915072,0.4996664968651452
2021-08-25,76,0.32894736842105265,0.618421052631579,0.7368421052631579,0.3815789473684211,0.8157894736842105,0.039473684210526314,-0.024991179827442145,0.253095880549307,0.5324304895879026
2021-08-26,77,0.2987012987012987,0.5714285714285714,0.7402597402597403,0.18181818181818182,0.8051948051948052,0.0,-0.1095305832147937,0.2505815885676306,0.5359813839966383
2021-08-27,77,0.22077922077922077,0.5194805194805194,0.7402597402597403,0.18181818181818182,0.8441558441558441,0.012987012987012988,-0.11577532118314904,0.24334423166744523,0.5361317508653058
2021-08-30,77,0.22077922077922077,0.4805194805194805,0.7142857142857143,0.2077922077922078,0.7922077922077922,0.0,-0.12125601065986913,0.19551681195516823,0.49927226993068796
2021-08-31,77,0.12987012987012986,0.37662337662337664,0.6493506493506493,0.24675324675324675,0.7012987012987013,0.0,-0.07137654770575386,0.15174866627148775,0.4670370635208272
2021-09-01,78,0.11538461538461539,0.3076923076923077,0.6153846153846154,0.14102564102564102,0.717948717948718,0.0,-0.12062555538936648,0.14683734939759052,0.47997082098839505
2021-09-02,78,0.10256410256410256,0.21794871794871795,0.5897435897435898,0.1282051282051282,0.6666666666666666,0.0,-0.1464674584833665,0.10590809628008757,0.4385286213833337
2021-09-03,78,0.11538461538461539,0.24358974358974358,0.6153846153846154,0.14102564102564102,0.6410256410256411,0.01282051282051282,-0.1399956121476958,0.11634756995581741,0.3648589265639042
2021-09-06,78,0.15384615384615385,0.3076923076923077,0.6153846153846154,0.15384615384615385,0.7307692307692307,0.0,-0.09855144446304676,0.14912280701754388,0.4264100938165618
2021-09-07,78,0.15384615384615385,0.3076923076923077,0.6153846153846154,0.16666666666666666,0.6923076923076923,0.01282051282051282,-0.09059428697651539,0.14297567954220325,0.38963078003401574
2021-09-08,78,0.16666666666666666,0.2564102564102564,0.6153846153846154,0.1282051282051282,0.717948717948718,0.0,-0.09826007684544585,0.13283235716653796,0.4132448532942341
2021-09-09,78,0.11538461538461539,0.21794871794871795,0.5769230769230769,0.10256410256410256,0.5384615384615384,0.01282051282051282,-0.1266765833348737,0.0368823938761309,0.4565741111277182
2021-09-10,78,0.3974358974358974,0.2948717948717949,0.6410256410256411,0.28205128205128205,0.5769230769230769,0.0,-0.04611563750714698,0.059844677935130264,0.4506331091562361
2021-09-13,78,0.1794871794871795,0.21794871794871795,0.5769230769230769,0.10256410256410256,0.47435897435897434,0.0,-0.0989263803680982,0.011421319796954377,0.3978939567503179
2021-09-14,78,0.14102564102564102,0.1794871794871795,0.5641025641025641,0.23076923076923078,0.5256410256410257,0.0,-0.04961832061068705,0.003403330919623526,0.4616172452120637
2021-09-15,78,0.16666666666666666,0.16666666666666666,0.5641025641025641,0.21794871794871795,0.4230769230769231,0.0,-0.0674558220553485,-0.037105555440642035,0.4305198492811695
2021-09-16,78,0.08974358974358974,0.14102564102564102,0.5384615384615384,0.1282051282051282,0.38461538461538464,0.0,-0.11350339296546968,-0.0344166773066521,0.3945446974266968
2021-09-17,78,0.0641025641025641,0.14102564102564102,0.5512820512820513,0.08974358974358974,0.38461538461538464,0.0,-0.11665746168090152,-0.0544361847645487,0.3483454927042237
2021-09-22,78,0.11538461538461539,0.16666666666666666,0.5384615384615384,0.11538461538461539,0.3717948717948718,0.0,-0.1278400484701605,-0.0479782739891369,0.3712799974966087
2021-09-23,78,0.24358974358974358,0.1794871794871795,0.5769230769230769,0.11538461538461539,0.46153846153846156,0.0,-0.11456725632197562,-0.0032458233890214627,0.37478127742671596
2021-09-24,78,0.19230769230769232,0.15384615384615385,0.5128205128205128,0.08974358974358974,0.3333333333333333,0.0,-0.12167832167832171,-0.08785660186821498,0.34515598736432174
2021-09-27,78,0.1794871794871795,0.1282051282051282,0.48717948717948717,0.10256410256410256,0.3717948717948718,0.0,-0.13072625698324014,-0.045454545454545414,0.3219426467755609
2021-09-28,78,0.21794871794871795,0.14102564102564102,0.4358974358974359,0.15384615384615385,0.358974358974359,0.0,-0.11467297762478479,-0.052860696517412764,0.34071190532173856
2021-09-29,78,0.16666666666666666,0.11538461538461539,0.358974358974359,0.08974358974358974,0.24358974358974358,0.0,-0.12545534023021987,-0.1032350142721219,0.3108490240669938
2021-09-30,78,0.2692307692307692,0.16666666666666666,0.41025641025641024,0.1794871794871795,0.2692307692307692,0.0,-0.07659409020217722,-0.0840909090909091,0.35209043308351257
2021-10-08,78,0.21794871794871795,0.11538461538461539,0.3974358974358974,0.20512820512820512,0.2564102564102564,0.0,-0.07106287094869523,-0.08149236192714437,0.2758052019018439
2021-10-11,78,0.20512820512820512,0.1282051282051282,0.4358974358974359,0.28205128205128205,0.21794871794871795,0.0,-0.05363899227906116,-0.11328057304604011,0.2896276569431675
2021-10-12,78,0.10256410256410256,0.07692307692307693,0.28205128205128205,0.15384615384615385,0.20512820512820512,0.0,-0.09923354981926175,-0.13617021276595753,0.26614628849811084
2021-10-13,78,0.23076923076923078,0.10256410256410256,0.358974358974359,0.1794871794871795,0.20512820512820512,0.0,-0.09174426809648012,-0.12089621907577397,0.22408399568136594
2021-10-14,78,0.19230769230769232,0.07692307692307693,0.32051282051282054,0.15384615384615385,0.2564102564102564,0.0,-0.08663117089606853,-0.09588414634146325,0.20890085297940483
2021-10-15,78,0.5641025641025641,0.20512820512820512,0.3974358974358974,0.2692307692307692,0.358974358974359,0.0,-0.04394162553488645,-0.04054054054054068,0.25133752288333483
2021-10-18,78,0.3974358974358974,0.15384615384615385,0.3717948717948718,0.3076923076923077,0.358974358974359,0.0,-0.040236554463590535,-0.05378486055776899,0.2720725801634035
2021-10-19,78,0.358974358974359,0.14102564102564102,0.3717948717948718,0.14102564102564102,0.3717948717948718,0.0,-0.07411844484629293,-0.042752672042002615,0.215562116486447
2021-10-20,78,0.3717948717948718,0.1282051282051282,0.358974358974359,0.2564102564102564,0.358974358974359,0.0,-0.05638505546186234,-0.04404091003965771,0.1729374984728943
2021-10-21,78,0.28205128205128205,0.0641025641025641,0.2948717948717949,0.20512820512820512,0.24358974358974358,0.0,-0.06797507129309993,-0.07919904363419017,0.16642281262430048
2021-10-22,78,0.44871794871794873,0.14102564102564102,0.358974358974359,0.28205128205128205,0.20512820512820512,0.0,-0.042729741264355414,-0.0959152798789712,0.14056744628229834
2021-10-25,78,0.48717948717948717,0.15384615384615385,0.3717948717948718,0.47435897435897434,0.15384615384615385,0.0,-0.001743382365474111,-0.13311331133113313,0.1579294919507709
2021-10-26,78,0.5128205128205128,0.14102564102564102,0.358974358974359,0.5,0.15384615384615385,0.0,0.002492120874868442,-0.12215094854647202,0.18162542211715288
2021-10-27,78,0.3076923076923077,0.15384615384615385,0.28205128205128205,0.3333333333333333,0.14102564102564102,0.0,-0.03462279749389391,-0.17581081081081074,0.22319289226583855
2021-10-28,78,0.20512820512820512,0.11538461538461539,0.24358974358974358,0.20512820512820512,0.1282051282051282,0.0,-0.07674720936586016,-0.20534759358288768,0.24509645771572913
2021-10-29,78,0.46153846153846156,0.20512820512820512,0.34615384615384615,0.358974358974359,0.15384615384615385,0.01282051282051282,-0.03291753762541805,-0.13694684472374963,0.22250474835857628
2021-11-01,78,0.48717948717948717,0.2948717948717949,0.38461538461538464,0.5,0.11538461538461539,0.02564102564102564,-0.0011397274121223155,-0.19624908065702384,0.22537759728132367
2021-11-02,78,0.6282051282051282,0.3717948717948718,0.4230769230769231,0.5256410256410257,0.11538461538461539,0.0,0.010777910399967228,-0.19021237303785787,0.23501971383950848
2021-11-03,78,0.6410256410256411,0.41025641025641024,0.41025641025641024,0.6794871794871795,0.1282051282051282,0.02564102564102564,0.031110560995586845,-0.16781731279872536,0.24547627932810628
2021-11-04,78,0.7435897435897436,0.4358974358974359,0.44871794871794873,0.6794871794871795,0.24358974358974358,0.01282051282051282,0.033092447143575954,-0.09434262948207173,0.23115530828710723
2021-11-05,78,0.7692307692307693,0.44871794871794873,0.48717948717948717,0.6794871794871795,0.1794871794871795,0.02564102564102564,0.043190287153669016,-0.1493630278497553,0.25385694123264346
2021-11-08,78,0.6153846153846154,0.4230769230769231,0.3974358974358974,0.5897435897435898,0.14102564102564102,0.0,0.019319939237613326,-0.16553883827797483,0.24489190400757804
2021-11-09,78,0.8205128205128205,0.5256410256410257,0.5128205128205128,0.7692307692307693,0.19230769230769232,0.01282051282051282,0.08199274420622149,-0.13214173701374687,0.2164808994894749
2021-11-10,78,0.8461538461538461,0.6153846153846154,0.5512820512820513,0.7435897435897436,0.2692307692307692,0.05128205128205128,0.07099152817223342,-0.11254533683408074,0.28207726467312744
2021-11-11,78,0.9102564102564102,0.6923076923076923,0.6025641025641025,0.8461538461538461,0.32051282051282054,0.0641025641025641,0.10218634775370339,-0.05427155472335954,0.24190754555167693
2021-11-12,79,0.8734177215189873,0.6835443037974683,0.569620253164557,0.7974683544303798,0.3037974683544304,0.02531645569620253,0.08157598746081507,-0.06993150770106582,0.2731404629249464
2021-11-15,79,0.8607594936708861,0.7088607594936709,0.5569620253164557,0.8354430379746836,0.24050632911392406,0.012658227848101266,0.07332813401691096,-0.10398970033919014,0.22675139265932392
