ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801092.SI,20241022,汽车服务,441.03,458.81,436.36,450.04,10.48,2.38,29017.0,156375.0,66.34,1.65,2504992.0,6028962.451331
801092.SI,20241023,汽车服务,449.39,462.62,443.09,452.01,1.97,0.44,30195.0,164157.0,66.49,1.66,2515964.0,6073159.419562
801092.SI,20241024,汽车服务,450.28,462.6,442.99,455.55,3.54,0.78,30700.0,129886.0,67.08,1.67,2535662.0,6089846.424592
801092.SI,20241025,汽车服务,460.76,473.41,459.75,468.48,12.93,2.84,26216.0,144808.0,69.04,1.72,2607638.0,6247552.011278
801092.SI,20241028,汽车服务,474.14,497.3,470.23,492.11,23.63,5.04,28893.0,192194.0,72.79,1.81,2739153.0,6492745.972514
801092.SI,20241029,汽车服务,502.27,509.26,481.71,491.63,-0.48,-0.1,66318.0,297689.0,72.87,1.82,2736467.0,6411083.973061
801092.SI,20241030,汽车服务,489.68,509.7,477.44,502.82,11.2,2.28,75021.0,319089.0,74.71,1.86,2798786.0,6494815.801763
801092.SI,20241031,汽车服务,507.33,516.29,495.34,505.19,2.37,0.47,41264.0,233077.0,75.11,1.87,2811980.0,6499213.460584
801092.SI,20241101,汽车服务,512.11,516.18,475.32,477.24,-27.96,-5.53,65201.0,269802.0,62.49,1.77,2666225.0,6198648.93815
801092.SI,20241104,汽车服务,470.12,491.31,466.35,481.79,4.55,0.95,39290.0,158790.0,63.03,1.79,2691641.0,6294126.575003
801092.SI,20241105,汽车服务,479.75,498.21,473.69,492.98,11.2,2.32,39124.0,182261.0,64.51,1.83,2754198.0,6422342.529428
801092.SI,20241106,汽车服务,496.07,508.13,484.5,496.12,3.14,0.64,41984.0,215346.0,64.85,1.84,2771744.0,6476791.17647
801092.SI,20241107,汽车服务,496.84,516.0,488.98,513.29,17.16,3.46,51737.0,259617.0,67.22,1.91,2869677.0,6674115.104978
801092.SI,20241108,汽车服务,521.09,539.56,512.9,526.15,12.86,2.51,51733.0,281397.0,69.06,1.96,2941580.0,6818764.577615
801092.SI,20241111,汽车服务,524.19,541.89,514.67,527.71,1.57,0.3,62312.0,282402.0,69.2,1.96,2950336.0,6867163.997965
801092.SI,20241112,汽车服务,529.06,536.75,506.18,512.88,-14.84,-2.81,43805.0,239125.0,67.12,1.9,2867376.0,6679540.053362
801092.SI,20241113,汽车服务,517.9,529.78,508.73,519.54,6.66,1.3,37626.0,205686.0,68.03,1.93,2904625.0,6770564.915583
801092.SI,20241114,汽车服务,519.5,528.89,498.83,503.68,-15.86,-3.05,40687.0,258383.0,65.98,1.87,2815947.0,6553687.940068
801092.SI,20241115,汽车服务,500.02,522.42,491.44,509.4,5.72,1.14,40117.0,280647.0,66.93,1.9,2847926.0,6583032.930318
801092.SI,20241118,汽车服务,520.23,536.47,498.01,517.95,8.56,1.68,44995.0,340360.0,68.06,1.93,2895773.0,6707435.45075
801092.SI,20241119,汽车服务,511.36,546.35,500.36,536.11,18.16,3.51,55928.0,406939.0,70.39,2.0,2997285.0,6903853.051868
801092.SI,20241120,汽车服务,529.83,556.82,524.05,544.44,8.33,1.55,55554.0,412360.0,71.55,2.03,3043873.0,7005689.322106
801092.SI,20241121,汽车服务,537.51,553.19,524.32,532.86,-11.59,-2.13,44973.0,325234.0,69.91,1.98,2979103.0,6893651.382044
801092.SI,20241122,汽车服务,528.04,540.17,503.14,505.7,-27.16,-5.1,40658.0,277266.0,66.42,1.88,2827242.0,6557717.477439
801092.SI,20241125,汽车服务,505.72,517.71,491.98,512.03,6.33,1.25,31092.0,199426.0,67.22,1.91,2862640.0,6646565.515905
801092.SI,20241126,汽车服务,508.72,518.56,496.54,501.64,-10.38,-2.03,25495.0,167567.0,65.88,1.87,2804589.0,6531546.990739
801092.SI,20241127,汽车服务,498.45,508.28,482.24,505.57,3.93,0.78,30099.0,178740.0,66.32,1.88,2826556.0,6592444.254166
801092.SI,20241128,汽车服务,504.36,521.63,498.9,506.91,1.34,0.26,32866.0,186111.0,66.55,1.89,2834044.0,6601213.598108
801092.SI,20241129,汽车服务,507.27,521.93,498.96,512.79,5.88,1.16,37118.0,223465.0,67.33,1.91,2866912.0,6662476.831684
801092.SI,20241202,汽车服务,514.57,538.83,510.53,536.29,23.5,4.58,47076.0,265792.0,70.49,2.0,2998277.0,6934760.690775
801092.SI,20241203,汽车服务,538.77,550.41,523.37,537.39,1.11,0.21,58929.0,314907.0,70.67,2.0,3004456.0,6919113.022932
801092.SI,20241204,汽车服务,534.72,544.98,517.28,525.48,-11.91,-2.22,41906.0,252057.0,69.12,1.96,2937871.0,6747115.21344
801092.SI,20241205,汽车服务,528.09,546.31,521.99,537.17,11.68,2.22,40947.0,273803.0,70.61,2.0,3003176.0,6888266.486939
801092.SI,20241206,汽车服务,540.02,555.3,524.85,545.94,8.77,1.63,56989.0,308252.0,71.81,2.04,3052215.0,6989961.443736
801092.SI,20241209,汽车服务,547.13,561.75,534.84,542.54,-3.4,-0.62,59247.0,284571.0,71.34,2.02,3033222.0,6958074.146488
801092.SI,20241210,汽车服务,554.98,563.75,536.04,540.67,-1.87,-0.35,48397.0,267528.0,71.09,2.02,3022743.0,6931457.629038
801092.SI,20241211,汽车服务,542.83,564.96,538.35,562.82,22.16,4.1,54528.0,270034.0,74.14,2.1,3146619.0,7182332.929572
801092.SI,20241212,汽车服务,564.26,577.17,550.2,563.36,0.53,0.09,61477.0,366823.0,74.25,2.11,3149601.0,7195318.145841
801092.SI,20241213,汽车服务,560.23,569.19,546.06,552.66,-10.7,-1.9,47041.0,276784.0,72.88,2.07,3089792.0,7058507.983891
801092.SI,20241216,汽车服务,551.32,563.18,539.07,548.69,-3.97,-0.72,42962.0,223548.0,72.37,2.05,3067611.0,6996062.697861
801092.SI,20241217,汽车服务,548.49,554.51,520.22,523.81,-24.88,-4.53,41068.0,211160.0,69.05,1.96,2928514.0,6732585.957858
801092.SI,20241218,汽车服务,527.87,545.08,518.93,537.95,14.14,2.7,34218.0,199579.0,70.93,2.01,3007541.0,6953383.062075
801092.SI,20241219,汽车服务,532.55,546.77,522.94,533.81,-4.14,-0.77,42234.0,249368.0,70.37,2.0,2984418.0,6890588.891667
801092.SI,20241220,汽车服务,533.94,547.86,528.38,536.15,2.34,0.44,29657.0,185441.0,70.72,2.01,2997527.0,6909265.88574
801092.SI,20241223,汽车服务,536.39,539.47,500.99,503.37,-32.78,-6.11,38531.0,216780.0,66.3,1.88,2814259.0,6518689.386454
801092.SI,20241224,汽车服务,509.75,524.24,499.14,510.81,7.44,1.48,32703.0,191122.0,67.28,1.91,2855853.0,6630797.898873
801092.SI,20241225,汽车服务,506.85,510.3,482.29,491.54,-19.28,-3.77,29850.0,167220.0,64.63,1.83,2748070.0,6406413.860241
801092.SI,20241226,汽车服务,490.76,503.6,487.16,495.91,4.37,0.89,20158.0,111586.0,65.25,1.85,2772522.0,6448569.699226
801092.SI,20241227,汽车服务,496.19,511.4,491.73,499.99,4.08,0.82,22033.0,117436.0,65.78,1.87,2795332.0,6500760.822227
801092.SI,20241230,汽车服务,498.91,505.35,482.79,491.8,-8.19,-1.64,21732.0,115963.0,64.67,1.83,2749538.0,6398829.82584
801092.SI,20241231,汽车服务,493.75,498.31,476.59,478.87,-12.93,-2.63,19882.0,111036.0,62.98,1.79,2677245.0,6231093.594534
801092.SI,20250102,汽车服务,478.42,489.59,465.97,471.19,-7.68,-1.6,22133.0,109709.0,62.04,1.76,2634393.0,6110564.261312
801092.SI,20250103,汽车服务,472.84,477.92,448.83,450.78,-20.4,-4.33,22004.0,105368.0,59.31,1.68,2520314.0,5874885.899916
801092.SI,20250106,汽车服务,451.42,456.41,435.57,445.86,-4.92,-1.09,15965.0,75974.0,58.6,1.66,2492810.0,5823785.567448
801092.SI,20250107,汽车服务,446.47,460.75,442.13,458.63,12.76,2.86,15914.0,84111.0,60.34,1.71,2564167.0,5940904.302061
801092.SI,20250108,汽车服务,456.3,463.14,441.69,458.62,-0.01,0.0,19082.0,99139.0,60.36,1.71,2564107.0,5943216.570419
801092.SI,20250109,汽车服务,455.35,466.48,452.57,459.29,0.67,0.15,13587.0,70395.0,60.44,1.71,2567849.0,5940168.115758
